UNIDADE_DA_FEDERACAO;MUNICIPIO;NUMERO_REGISTRO_ESTABELECIMENTO;STATUS_DO_REGISTRO;CNPJ;RAZAO_SOCIAL;NOME_FANTASIA;AREA_ATUACAO;ATIVIDADE;CLASSIFICACAO
PR;Palmas;PR0021580;Ativo;**.***.776/***-**;BIO TEE SUL AMERICA INDUSTRIA DE PRODUTOS QUIMICOS E OPOTERAPICOS LTDA;BIOTEE SUL AMÉRICA;FERTILIZANTE, INOCULANTE E CORRETIVO;IMPORTADOR;PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
MG;Delfim Moreira;MG0017590;Ativo;**.***.536/***-**;FUNDAÇÃO ROGE;;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
SC;Videira;SC0008974;Ativo;**.***.537/***-**;COOPER HF;Cooper HF;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
MG;Uberaba;MG0007463;Ativo;**.***.367/***-**;FMC QUIMICA DO BRASIL LTDA;;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
PR;Rio Branco do Sul;PR0016705;Ativo;**.***.861/***-**;MINÉRIOS FURQUIM LTDA;;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE MINERAL
PR;Almirante Tamandaré;PR0006548;Ativo;**.***.142/***-**;INDÚSTRIA DE CAL RIO GRANDE LTDA;Cal Rio Grande;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;CORRETIVO
MG;Córrego Fundo;MG0011436;Ativo;**.***.579/***-**;INDUSTRIA DE CAL CRUZEIRO LTDA;;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;CORRETIVO
RS;Tapejara;RS0026778;Ativo;**.***.998/***-**;COOPERAATIVA AGRÍCOLA TAPEJARA LTDA;COTAPEL;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
SP;São Paulo;SP0057010;Ativo;**.***.755/***-**;HELM DO BRASIL MERCANTIL LTDA;HELM;FERTILIZANTE, INOCULANTE E CORRETIVO;IMPORTADOR;PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
MT;Nobres;MT0007846;Ativo;**.***.767/***-**;INDÚSTRIA E COMÉRCIO DE CALCÁRIO CUIABÁ LTDA;Calcário Cuiabá;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;CORRETIVO
SP;São Paulo;MT0003239;Ativo;**.***.541/***-**;CALCARIO VALE DO ARAGUAIA LTDA;;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;CORRETIVO
SC;Ipuaçu;SC0003069;Ativo;**.***.383/***-**;COAMO AGROINDUSTRIAL COOPERATIVA;COAMO;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EM GRANEL
SP;Guariba;SP0053678;Ativo;**.***.508/***-**;Raizen energia s/a;Raizen Bonfim;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE ORGÂNICO
RS;Vacaria;RS0036862;Ativo;**.***.434/***-**;BIOSUL INDUSTRIA E COMERCIO DE FERTILIZANTES LTDA;BIOSUL FERTILIZANTES;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE MINERAL
MT;Boa Esperanca;MT0006440;Ativo;**.***.632/***-**;sipal industria e comercio ltda;SIPAL;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
SP;Orlândia;SP0074519;Ativo;**.***.196/***-**;AGRONN FERTILIZANTES LTDA;AGRONN FERTILIZANTES LTDA;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE MINERAL
RS;Garibaldi;RS0037796;Ativo;**.***.144/***-**;BEIFIUR LTDA.;Beifiur;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;INOCULANTE
PR;Cambé;PR0008192;Ativo;**.***.715/***-**;INQUIMA LTDA;Inquima ltda.;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE ORGÂNICO
SC;Pinhalzinho;SC0000400;Ativo;**.***.723/***-**;COOPERATIVA REGIONAL ITAIPU;COOPERATIVA REGIONAL ITAIPU - FILIAL 15;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
