UNIDADE_DA_FEDERACAO;MUNICIPIO;NUMERO_REGISTRO_ESTABELECIMENTO;STATUS_DO_REGISTRO;CNPJ;RAZAO_SOCIAL;NOME_FANTASIA;AREA_ATUACAO;ATIVIDADE;CLASSIFICACAO
SP;Taquaritinga;SP0062960;Ativo;**.***.493/***-**;AGROLONG COMERCIO DE SOLUÇÕES AGRICOLAS LTDA ME;;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
MT;Campo Verde;MT0011940;Ativo;**.***.338/***-**;AGRICONNECTION ESSENTIALS;AGRICONNECTION;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
MG;Divino;MG0026557;Ativo;**.***.913/***-**;MINASSOIL INDUSTRIA DE FERTILIZANTES LTDA;MINASSOIL INDUSTRIA DE FERTILIZANTES;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE ORGÂNICO
MT;Rosário Oeste;MT0012351;Ativo;**.***.660/***-**;IMPERIO CALTINS CALCARIO LTDA;IMPERIO CALTINS CALCARIO;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;CORRETIVO
SC;Florianópolis;SC0028460;Ativo;**.***.938/***-**;COBASI COMÉRCIO DE PRODUTOS BÁSICOS E INDUSTRIALIZADOS S.A.;;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
CE;Pacajus;CE0012637;Ativo;**.***.986/***-**;CAMPO FORTE COMÉRCIO E REPRESENTAÇÕES LTDA;CAMPO FORTE;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
GO;Aparecida de Goiânia;GO0014842;Ativo;**.***.268/***-**;VITAL BRASIL CHEMICAL INDUSTRIA E COMERCIO DE PRODUTOSQUIMICOS LTDA;VitalForce ;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
PI;Bom Jesus;PI0003417;Ativo;**.***.721/***-**;AVANTIAGRO COMERCIAL AGRICOLA LTDA;AVANTIAGRO;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
PR;Londrina;PR0029840;Ativo;**.***.814/***-**;NOVA DO BRASIL;NOVA DO BRASIL;FERTILIZANTE, INOCULANTE E CORRETIVO;IMPORTADOR;PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
RS;Caxias do Sul;RS0053511;Ativo;**.***.135/***-**;GLINFERTIL FERTILIZANTES LTDA;;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
MG;Iraí de Minas;MG0028258;Ativo;**.***.474/***-**;DATERRA FERTILIZANTES LTDA;Daterra Fertilizantes;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE MINERAL
MG;Araxá;MG0026310;Ativo;**.***.785/***-**;GRÃO DE OURO AGRONEGOCIOS LTDA;GRAO DE OURO AGRONEGOCIO;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
MT;Lucas do Rio Verde;MT0011436;Ativo;**.***.723/***-**;LAVORO AGROCOMERCIAL S.A;LAVORO AGROCOMERCIAL;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
MT;Primavera do Leste;MT0011444;Ativo;**.***.723/***-**;LAVORO AGROCOMERCIAL S.A;LAVORO AGROCOMERCIAL;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
SC;São Francisco do Sul;SC0031062;Ativo;**.***.493/***-**;CHEFERT COMERCIAL IMPORTADORA E EXPORTADORA LTDA;CHEFERT AGRO;FERTILIZANTE, INOCULANTE E CORRETIVO;IMPORTADOR;PRODUTO IMPORTADO E COMERCIALIZADO EM GRANEL
BA;Luís Eduardo Magalhães;BA0013536;Ativo;**.***.566/***-**;AGRONELLI AGROINDÚSTRIA LTDA.;;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EM GRANEL
MT;Alto Taquari;MT0010723;Cancelado;**.***.599/***-**;AGROVENCI - COMERCIO, IMPORTACAO, EXPORTACAO E AGROPECUARIA LTDA;AGROVENCI - COMERCIO, IMPORTACAO, EXPORTACAO E AGROPECUARIA LTDA;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
GO;Formosa;GO0015474;Ativo;**.***.897/***-**;SINAGRO PRODUTOS AGROPECUÁRIOS S.A;SINAGRO PRODUTOS AGROPECUARIOS;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
AC;Rio Branco;AC0001597;Ativo;**.***.733/***-**;RONDOVERDE COMERCIO E SERVICOS LTDA;RONDOVERDE;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
AM;Apuí;AM0003530;Ativo;**.***.343/***-**;DALLARMI & OLIVEIRA PRODUTOS AGRÍCOLAS LTDA;CASA DA LAVOURA PRODUTOS AGRICOLAS;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
RS;Porto Alegre;RS0058130;Ativo;**.***.580/***-**;fertbela fertilizantes e produtos agropecuarios s.a;;FERTILIZANTE, INOCULANTE E CORRETIVO;IMPORTADOR;PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
BA;Camaçari;BA0012904;Ativo;**.***.663/***-**;NORDESTE COMERCIO DE FERTILIZANTES E TRANSPORTES LTDA;;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
RS;Sarandi;RS0054860;Ativo;**.***.945/***-**;CONSTRUBRAS CONSTRUTORA LTDA;CONSTRUBRAS;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;REMINERALIZADOR
BA;Juazeiro;BA0013056;Ativo;**.***.386/***-**;BRASIL COMÉRCIO DE INSUMOS AGRÍCOLAS LTDA;Brasil Agrícola;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
RS;Rio Grande;RS0054844;Cancelado;**.***.077/***-**;RIO GRANDE FERTILIZANTES LTDA;RIO GRANDE FERTILIZANTES LTDA;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE MINERAL
SC;Paial;SC0030422;Ativo;**.***.719/***-**;AGROBEER FERNANDES LTDA;;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
PA;Aveiro;PA0008974;Ativo;**.***.808/***-**;GESSOSUL INDUSTRIA DE GESSO LTDA;GESSOSUL;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE MINERAL
RS;Ipê;RS0057525;Ativo;**.***.445/***-**;ORGANICOS DA SERRA LTDA;DONA FLORA;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE ORGÂNICO
MG;Uberlândia;MG0028592;Ativo;**.***.485/***-**;CIMOAGRO-COMÉRCIO E REPRESENTAÇÃO AGROPECUÁRIA LTDA.;CIMOAGRO;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
MS;Rio Brilhante;MS0015717;Ativo;**.***.098/***-**;FACCO & MATOS LTDA;FAMA AGRICOLA;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
MG;Ituiutaba;MG0028282;Ativo;**.***.265/***-**;W&W BRITAGEM LTDA;W & W - BRITAGEM;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;REMINERALIZADOR
RS;Restinga Seca;RS0055468;Ativo;**.***.680/***-**;BIOAGREEN IND., COM. E DISTRIBUIÇÃO DE INSUMOS AGRICOLAS LTDA;;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
SP;São Paulo;SP0061476;Ativo;**.***.784/***-**;LEROY MERLIN COMPANHIA BRASILEIRA DE BRICOLAGEM;;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
SP;Campinas;SP0064009;Ativo;**.***.673/***-**;BRFÉRTIL S/A;BRFÉRTIL;FERTILIZANTE, INOCULANTE E CORRETIVO;IMPORTADOR;PRODUTO IMPORTADO EM GRANEL E COMERCIALIZADO EM EMBALAGEM PROPRIA
SC;Guaraciaba;SC0031852;Ativo;**.***.235/***-**;COOPERATIVA AGROINDUSTRIAL ALFA ;Cooperalfa;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
SC;Trombudo Central;SC0034347;Ativo;**.***.793/***-**;ALTO VALE DE MINERACAO LTDA;;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;REMINERALIZADOR
MT;Barra do Garças;MT0012343;Ativo;**.***.191/***-**;HINOVE AGROCIENCIA SA;HINOVE AGROCIENCIA ;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
MT;Barra do Garças;MT0012343;Ativo;**.***.191/***-**;HINOVE AGROCIENCIA SA;HINOVE AGROCIENCIA ;FERTILIZANTE, INOCULANTE E CORRETIVO;IMPORTADOR;PRODUTO IMPORTADO E COMERCIALIZADO EM GRANEL
MT;Barra do Garças;MT0012343;Ativo;**.***.191/***-**;HINOVE AGROCIENCIA SA;HINOVE AGROCIENCIA ;FERTILIZANTE, INOCULANTE E CORRETIVO;EXPORTADOR;PRODUTO EXPORTADO EM GRANEL
SP;Monte Mor;SP0066672;Ativo;**.***.447/***-**;ADUBOS REAL S.A.;ADUBOS REAL S/A;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
MT;Nova Mutum;MT0012165;Ativo;**.***.223/***-**;C. VALE COOPERATIVA AGROINDUSTRIAL;C.Vale Cooperativa Agroinsdustrial;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
SP;Assis;SP0072290;Ativo;**.***.984/***-**;ELEVA QUIMICA LTDA;;FERTILIZANTE, INOCULANTE E CORRETIVO;IMPORTADOR;PRODUTO IMPORTADO E COMERCIALIZADO EM GRANEL
PR;Serranópolis do Iguaçu;PR0030430;Cancelado;**.***.395/***-**;R FAGANELLO ADUBOS ORGANICOS;FAGANELLO ADUBOS ORGANICOS;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
RS;Cachoeirinha;RS0056200;Ativo;**.***.663/***-**;BIO ORGAN DO BRASIL LTDA;;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
PE;Sanharó;PE0007811;Ativo;**.***.993/***-**;INCOFÉRTIL TECNOLOGIA INDÚSTRIA E COMÉRCIO DE FERTILIZANTES;INCOFERTIL;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;INOCULANTE
SP;Barueri;SP0070190;Ativo;**.***.814/***-**;NOVA DO BRASIL LTDA;NOVA DO BRASIL LTDA;FERTILIZANTE, INOCULANTE E CORRETIVO;IMPORTADOR;PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
MS;Campo Grande;MS0016306;Ativo;**.***.434/***-**;GEN INDUSTRIA E COMÉRCIO DE FERTILIZANTES LTDA;GEN;FERTILIZANTE, INOCULANTE E CORRETIVO;IMPORTADOR;PRODUTO IMPORTADO E COMERCIALIZADO EM GRANEL
SE;Aracaju;SE0003980;Ativo;**.***.938/***-**;COBASI COMÉRCIO DE PRODUTOS BÁSICOS E INDUSTRIALIZADOS S.A.;;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
PR;Curitiba;PR0030155;Cancelado;**.***.101/***-**;SONDAS EMPREENDIMENTOS LTDA;SONDAS EMPREENDIMENTOS LTDA ;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
PE;Recife;PE0006688;Ativo;**.***.438/***-**;BS ARID INDUSTRIA QUIMICA S.A;BS ARID INDUSTRIA QUIMICA S.A;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE ORGÂNICO
SP;Pilar do Sul;SP0066680;Ativo;**.***.447/***-**;ADUBOS REAL S/A;;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
MT;Tapurah;MT0012424;Ativo;**.***.888/***-**;SPN COMERCIO E REPRESENTAÇÕES LTDA;TERRA AGRO;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
MT;Cáceres;MT0012017;Ativo;**.***.040/***-**;ALVORADA COMERCIO DE PRODUTOS AGROPECUARIOS LTDA;SOUBHIA & CIA LTDA;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
MS;Corumbá;MS0016594;Ativo;**.***.017/***-**;AGROSUL PRODUTOS AGROPECUARIOS LTDA;AGROSUL;FERTILIZANTE, INOCULANTE E CORRETIVO;IMPORTADOR;PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
TO;Araguaína;TO0008737;Ativo;**.***.929/***-**;CORTEVA AGRISCIENCE DO BRASIL LTDA.;CORTEVA AGRISCIENCE DO BRASIL LTDA;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
MT;Nova Mutum;MT0012173;Ativo;**.***.223/***-**;C.VALE COOPERATIVA AGROINDUSTRIAL;;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
SP;Araraquara;SP0064980;Ativo;**.***.471/***-**;TRANS FERT  - TRANSPORTE, COMERCIO E REPRESENTACOES LTDA.;;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
SP;Paulínia;SP0065625;Ativo;**.***.859/***-**;NUTRIEN SOLUCOES AGRICOLAS LTDA;;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
RO;Cacoal;RO0005096;Ativo;**.***.507/***-**;BRASIL BUSINESS COMERCIO E EVENTOS;;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
MT;Comodoro;MT0016055;Ativo;**.***.599/***-**;AGROVENCI COMERCIO, IMPORTAÇÃO, EXPORT E AGROP;AGROVENCI;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
MT;Nova Mutum;MT0015920;Ativo;**.***.993/***-**;DIPAGRO LTDA;DIPAGRO;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
TO;Araguaína;TO0008915;Ativo;**.***.928/***-**;LINEAGRO PRODUTOS AGROPECUARIOS SA;Agroline;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
MT;Querência;MT0012041;Ativo;**.***.929/***-**;CORTEVA AGRISCIENCE DO BRASIL LTDA.;CORTEVA AGRISCIENCE DO BRASIL LTDA;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
RO;Vilhena;RO0004944;Ativo;**.***.723/***-**;LAVORO AGROCOMERCIAL S.A;LAVORO AGROCOMERCIAL;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
RS;Nova Ramada;RS0054127;Ativo;**.***.128/***-**;CEREALISTA AMIGOS DA TERRA LTDA;CRAT;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
CE;Maracanaú;CE0013838;Ativo;**.***.938/***-**;COBASI COMÉRCIO DE PRODUTOS BÁSICOS E INDUSTRIALIZADOS S.A.;;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
SP;São Paulo;SP0069469;Ativo;**.***.961/***-**;INSETIMAX INDUSTRIA QUIMICA LTDA;INSETIMAX;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
MT;Canarana;MT0012076;Ativo;**.***.315/***-**;BIAGRO COMERCIO E DISTRIBUIÇÃO DE INSUMOS AGROPECUÁRIOS LTDA;BIAGRO;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
MT;Rondonópolis;MT0011908;Ativo;**.***.718/***-**;PADIM FERTILIZANTES LTDA;PADIM FERTILIZANTES;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
SP;São José do Rio Preto;SP0063991;Ativo;**.***.190/***-**;MÃE TERRA AGRONEGÓCIOS LTDA;;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
PI;Bom Jesus;PI0003557;Ativo;**.***.897/***-**;SINAGRO PRODUTOS AGROPECUÁRIOS SA ;SINAGRO PRODUTOS AGROPECUARIOS ;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
SP;Vargem Grande do Sul;SP0069736;Ativo;**.***.186/***-**;CERCA VIVA AGRO COMERCIAL LTDA;CERCA VIVA AGRO COMERCIAL LTDA-FILIAL VGSUL;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
SP;Cravinhos;SP0066605;Ativo;**.***.687/***-**;FERTCHEM FERTILIZANTES COMPOSTOS HUMICOS E MINERAIS LTDA;;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
SP;Cravinhos;SP0066362;Ativo;**.***.215/***-**;KING FERT COMERCIO E TRANSPORTES LTDA;KING FERTILIZANTES;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
TO;Lagoa da Confusão;TO0008850;Ativo;**.***.900/***-**;RURAL BRASIL LTDA;;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
MS;Dourados;MS0016411;Ativo;**.***.929/***-**;CORTEVA AGRISCIENCE DO BRASIL LTDA.;CORTEVA AGRISCIENCE DO BRASIL LTDA;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
MG;Pirapora;MG0030295;Ativo;**.***.842/***-**;PRODUTIVA AGRONEGOCIOS COMERCIO E REPRESENTACOES LTDA;PRODUTIVA AGRONEGOCIOS COMERCIO E REPRESENTACOES LTDA;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
GO;Jataí;GO0016403;Ativo;**.***.558/***-**;VITTIA FERTILIZANTES E BIOLÓGICOS S.A.;;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
TO;Guaraí;TO0008443;Ativo;**.***.723/***-**;LAVORO AGROCOMERCIAL S.A;LAVORO AGROCOMERCIAL;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
MS;Corumbá;MS0016721;Ativo;**.***.191/***-**;HINOVE AGROCIÊNCIA S.A. ;HINOVE AGROCIENCIA ;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
MG;Uberlândia;MG0029025;Ativo;**.***.315/***-**;BIAGRO COMERCIO E DISTRIBUIÇÃO DE INSUMOS AGROPECUÁRIOS LTDA;BIAGRO;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
TO;Porto Nacional;TO0009032;Ativo;**.***.315/***-**;BIAGRO COMERCIO E DISTRIBUIÇÃO DE INSUMOS AGROPECUÁRIOS LTDA;BIAGRO ;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
SP;São Paulo;SP0040401;Ativo;**.***.348/***-**;COMPANHIA NITRO QUIMICA BRASILEIRA;;FERTILIZANTE, INOCULANTE E CORRETIVO;IMPORTADOR;PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
SC;Mafra;SC0030848;Ativo;**.***.286/***-**;POLLI FERTILIZANTES INDUSTRIA E TRANSPORTES S.A;Polli Fertilizantes;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
CE;Ibiapina;CE0016861;Ativo;**.***.312/***-**;ALLAN GUILHERME BOLONHES LOPES;ALLAN GUILHERME BOLONHES LOPES;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
GO;Rio Verde;GO0016314;Ativo;**.***.101/***-**;BUNGE ALIMENTOS S/A;;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
MG;São João do Manhuaçu;MG0031933;Ativo;**.***.069/***-**;COOPERATIVA DOS CAFEICULTORES DA REGIÃO DE LAJINHA - LTDA;COOCAFE;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
MS;São Gabriel do Oeste;MS0016764;Ativo;**.***.383/***-**;COAMO AGROINDUSTRIAL COOPERATIVA;COAMO;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
PE;Caruaru;PE0007471;Ativo;**.***.961/***-**;INSETIMAX INDUSTRIA QUIMICA LTDA;INSETIMAX;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
GO;Jataí;GO0016446;Ativo;**.***.805/***-**;PRODUTEC COMERCIO E REPRESENTAÇÕES - SA.;;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
MT;Tangará da Serra;MT0012904;Ativo;**.***.578/***-**;ADUBOS ARAGUAIA IND E COM LTDA;ARAGUAIA;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
GO;Padre Bernardo;GO0016896;Ativo;**.***.900/***-**;RURAL BRASIL LTDA;AGROGALAXY;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
SP;Indaiatuba;SP0068012;Ativo;**.***.783/***-**;ORGANO PROMAX LTDA;ORGANO PROMAX;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
PI;Uruçuí;PI0003816;Ativo;**.***.434/***-**;GEN INDUSTRIA E COMÉRCIO DE FERTILIZANTES LTDA;;FERTILIZANTE, INOCULANTE E CORRETIVO;IMPORTADOR;PRODUTO IMPORTADO E COMERCIALIZADO EM GRANEL
PI;Uruçuí;PI0003816;Ativo;**.***.434/***-**;GEN INDUSTRIA E COMÉRCIO DE FERTILIZANTES LTDA;;FERTILIZANTE, INOCULANTE E CORRETIVO;IMPORTADOR;PRODUTO IMPORTADO EM GRANEL E COMERCIALIZADO EM EMBALAGEM PROPRIA
PR;Ibiporã;PR0033634;Ativo;**.***.530/***-**;DOMINISOLO INDUSTRIA QUIMICA LTDA;DOMINISOLO NUTRICAO VEGETAL;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;BIOFERTILIZANTE
TO;Araguaína;TO0008990;Ativo;**.***.174/***-**;orígeo comércio de produtos agropecuários s.a;orígeo comércio;FERTILIZANTE, INOCULANTE E CORRETIVO;IMPORTADOR;PRODUTO IMPORTADO EM GRANEL E COMERCIALIZADO EM EMBALAGEM PROPRIA
ES;Cariacica;ES0013854;Ativo;**.***.670/***-**;SEIVA TECH COMERCIO IMPORTACAO E EXPORTACAO LTDA;SEIVA TECH;FERTILIZANTE, INOCULANTE E CORRETIVO;IMPORTADOR;PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
MA;Açailândia;MA0007692;Ativo;**.***.259/***-**;SAFE AGRIBUSINESS LTDA;;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
RS;Guarani das Missões;RS0056731;Ativo;**.***.072/***-**;COOPERATIVA MISTA SÃO LUIZ LTDA;Coopermil;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
RS;Dom Pedrito;RS0056677;Ativo;**.***.110/***-**;SYNGENTA COMERCIAL AGRÍCOLA LTDA;ATUA AGRO;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
RS;Gravataí;RS0056634;Ativo;**.***.451/***-**;COMERCIO DE CEREAIS WS LTDA;COMERCIO DE CEREAIS WS;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
BA;Governador Mangabeira;BA0014710;Ativo;**.***.746/***-**;BAHIA PRESTAÇÃO DE SERVIÇOES E ARMAZENAGEM LTDA;;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
MT;Cuiabá;MT0013617;Ativo;**.***.023/***-**;FIAGRIL LTDA;FIAGRIL;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
BA;Feira de Santana;BA0014338;Ativo;**.***.831/***-**;CENTRAL DE ADUBOS COMERCIO E REPRESENTAÇÕES LTDA;CENTRAL DE ADUBOS;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
PR;Pinhalão;PR0031801;Ativo;**.***.422/***-**;TERRA ALTA AGRICOLA LTDA;Terra Alta Agrícola;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
GO;Ipameri;GO0017043;Ativo;**.***.442/***-**;COOPERATIVA MISTA DOS PRODUTORES DE LEITE DE MORRINHOS;COMPLEM;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
SP;Campinas;SP0069248;Ativo;**.***.221/***-**;FBSCIENCES BRASIL LTDA;;FERTILIZANTE, INOCULANTE E CORRETIVO;IMPORTADOR;PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
