UNIDADE_DA_FEDERACAO,MUNICIPIO,NUMERO_REGISTRO_ESTABELECIMENTO,CNPJ,RAZAO_SOCIAL,NOME_FANTASIA,AREA_ATUACAO,ATIVIDADE,CLASSIFICACAO
MG,Manhuaçu,MG0032506,**.***.271/***-**,INDUSTRIA NACIONAL DE TECNOLOGIA QUIMICA,INNTEQ,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE ORGÂNICO
SP,Barretos,SP0068128,**.***.778/***-**,ELITE IND. COM. LTDA ME,ELITE AGROCIENCIAS,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE ORGÂNICO
MT,Campos de Júlio,MT0011754,**.***.723/***-**,LAVORO AGROCOMERCIAL S.A,LAVORO AGROCOMERCIAL,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SP,Penápolis,SP0072257,**.***.570/***-**,GRANOS INSUMOS AGRICOLAS LTDA,Granos Insumos Agrícolas,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
MS,Campo Grande,MS0015954,**.***.134/***-**,CPAF COMERCIO DE FERTILIZANTES E NITROGENADOS LTDA,,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
RO,Vilhena,RO0004987,**.***.315/***-**,BIAGRO COMERCIO E DISTRIBUIÇÃO DE INSUMOS AGROPECUÁRIOS LTDA,BIAGRO,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
MG,Córrego Fundo,MG0030465,**.***.633/***-**,LD INDÚSTRIA COMÉRCIO E SERVIÇOS LTDA,LD INDUSTRIA COMERCIO E SERVIÇOS,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,CORRETIVO
PA,Quatro Bocas,PA0008915,**.***.542/***-**,ROBERTO - COMERCIO DE MATERIAIS DE CONSTRUCAO LTDA,ROBERTO MATERIAIS DE CONSTRUÇÃO,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
DF,Brasília,DF0004790,**.***.938/***-**,COBASI COMERCIO DE PRODUTOS BASICOS E INDUSTRIALIZADOS S.A. PLANALTINA,,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
GO,Rio Verde,GO0018163,**.***.530/***-**,BIOCONECT AGRO SUSTENTÁVEL LTDA.,BIOCONECT AGRO SUSTENTÁVEL,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE ORGÂNICO
SP,Itaquaquecetuba,SP0066338,**.***.929/***-**,RUIZ MIRANDA COMERCIAL LTDA,RUIZ MIRANDA METAIS,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SC,Araquari,SC0032018,**.***.108/***-**,AGROINCASA INDUSTRIA E COMERCIO LTDA,,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
MG,Claraval,MG0032492,**.***.608/***-**,KLED AGRO VERDE E VERDE LTDA,,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE ORGÂNICO
CE,Iguatu,CE0014915,**.***.055/***-**,E L BEZERRA PRODUTOS AGROPECUARIOS,AGRIFERTIL,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
ES,Sooretama,ES0012378,**.***.152/***-**,COOPERATIVA AGRÁRIA DOS CAFEICULTORES DE SÃO GABRIEL - COOABRIEL,COOPERATIVA AGRARIA DOS CAFEICULTORES DE SAO GABRIEL - COOABRIEL,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
MT,Rondonópolis,MT0011690,**.***.690/***-**,BIOMA INDUSTRIA COMERCIO E DISTRIBUICAO LTDA,BIOMA,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
BA,Paripiranga,BA0014184,**.***.921/***-**,MEGA SAFRA COMERCIO E REPRESENTACOES LTDA,Mega Safra,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SP,Santa Cruz do Rio Pardo,SP0066788,**.***.097/***-**,BELAGRÍCOLA COMÉRCIO E REPRESENTAÇÕES DE PRODUTOS AGRÍCOLAS S.A.,BELAGRÍCOLA,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
BA,Luís Eduardo Magalhães,BA0014214,**.***.315/***-**,BIAGRO COMERCIO E DISTRIBUIÇÃO DE INSUMOS AGROPECUÁRIOS LTDA,BIAGRO,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
MG,Patrocínio,MG0032476,**.***.273/***-**,SUPERAGRO SOLUÇÕES EM APLICAÇÃO DE PRODUTOS AGRICOLAS LTDA,,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
RJ,Teresópolis,RJ0017345,**.***.900/***-**,AGROLAR DE VENDA NOVA LTDA,,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
MS,Campo Grande,MS0017078,**.***.113/***-**,POLIMIX CONCRETO LTDA,,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,REMINERALIZADOR
MT,Rondonópolis,MT0011827,**.***.525/***-**,LOUIS DREYFUS COMPANY BRASIL S.A.,Louis Dreyfus Company,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
MT,Rondonópolis,MT0011827,**.***.525/***-**,LOUIS DREYFUS COMPANY BRASIL S.A.,Louis Dreyfus Company,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EM GRANEL
BA,Salvador,BA0013676,**.***.918/***-**,MANUCHAR AGRO COMERCIO E IMPORTACAO DE INSUMOS AGRICOLAS LTDA,,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
BA,Salvador,BA0013676,**.***.918/***-**,MANUCHAR AGRO COMERCIO E IMPORTACAO DE INSUMOS AGRICOLAS LTDA,,"FERTILIZANTE, INOCULANTE E CORRETIVO",IMPORTADOR,PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
GO,Rio Verde,GO0016314,**.***.101/***-**,BUNGE ALIMENTOS S/A,,"FERTILIZANTE, INOCULANTE E CORRETIVO",IMPORTADOR,PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
BA,Salvador,BA0014400,**.***.938/***-**,COBASI COMÉRCIO DE PRODUTOS BÁSICOS E INDUSTRIALIZADOS S.A.,,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
BA,Luís Eduardo Magalhães,BA0014648,**.***.174/***-**,orígeo comércio de produtos agropecuários s.a,orígeo comércio,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
PR,Maringá,PR0033480,**.***.901/***-**,GARDEN CLUBE ORQUIDEOMANIA LTDA,Orquideomania,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE ORGÂNICO
PR,Apucarana,PR0031836,**.***.002/***-**,RODRIGO VALDIR GONÇALVES,FLORA BRASIL,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
PI,Uruçuí,PI0003816,**.***.434/***-**,GEN INDUSTRIA E COMÉRCIO DE FERTILIZANTES LTDA,,"FERTILIZANTE, INOCULANTE E CORRETIVO",IMPORTADOR,PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
