UNIDADE_DA_FEDERACAO,MUNICIPIO,NUMERO_REGISTRO_ESTABELECIMENTO,CNPJ,RAZAO_SOCIAL,NOME_FANTASIA,AREA_ATUACAO,ATIVIDADE,CLASSIFICACAO
BA,Luís Eduardo Magalhães,BA0008087,**.***.628/***-**,BAYER S.A,,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SC,Joinville,SC0013978,**.***.163/***-**,"BRAZILIAN TRADING IMPORTADORA, EXPORTADORA E FERTILIZANTES LTDA",brazilian international business,"FERTILIZANTE, INOCULANTE E CORRETIVO",IMPORTADOR,PRODUTOS A GRANEL PARA COMERCIALIZAÇÃO EM EMBALAGENS PRÓPRIAS
TO,Darcinópolis,TO0008435,**.***.545/***-**,PRODUTORA DE OVOS JOSIDITH LTDA,,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE ORGÂNICO
MS,Ponta Porã,MS0011193,**.***.383/***-**,COAMO AGROINDUSTRIAL COOPERATIVA,COAMO,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SP,Barueri,SP0035491,**.***.163/***-**,ALEPH COMEX COMERCIO IMPORTACAO E EXPORTACAO LTDA,ALEPH AGRO,"FERTILIZANTE, INOCULANTE E CORRETIVO",IMPORTADOR,PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
SP,Campinas,SP0036064,**.***.198/***-**,Acadian do Brasil Ltda,,"FERTILIZANTE, INOCULANTE E CORRETIVO",IMPORTADOR,PRODUTOS A GRANEL PARA COMERCIALIZAÇÃO EM EMBALAGENS PRÓPRIAS
RS,Vacaria,RS0046795,**.***.838/***-**,RIZZI & CIA LTDA,AGRIMAR,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SC,Papanduva,SC0013820,**.***.285/***-**,BIG SAFRA LTDA,,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EM GRANEL
GO,Silvânia,GO0011843,**.***.968/***-**,COCARI  COOPERATIVA AGROPECUÁRIA E INDUSTRIAL,COCARI - COOPERATIVA AGROPECUÁRIA E INDUSTRIAL,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SP,Pirassununga,SP0037842,**.***.145/***-**,VALAGRO BRAZIL MANUFACTURING INDUSTRIA E COMERCIO DE FERTILIZANTES LTDA,VALAGRO BRAZIL,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE ORGÂNICO
MG,Monte Carmelo,MG0029033,**.***.512/***-**,AGROCAFE COMERCIO E REPRESENTACAO LTDA,AGROCAFE,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
MG,Montes Claros,MG0002399,**.***.417/***-**,NPK PRODUTOS AGROPECUARIOS LTDA - ME,NPK AGRICOLA,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SP,Matão,SP0040126,**.***.430/***-**,CMS - COMPANHIA MATONENSE DE SANEAMENTO,CMS - COMPANHIA MATONENSE DE SANEAMENTO,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE ORGÂNICO
MS,Campo Grande,MS0009636,**.***.482/***-**,COOPERATIVA AGRICOLA DE CAMPO GRANDE,coop grande,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SP,Ribeirão Preto,SP0048950,**.***.622/***-**,NUTRINS FERTILIZANTES LTDA,NUTRINS FERTILIZANTES,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE ORGÂNICO
BA,Livramento de Nossa Senhora,BA0014958,**.***.296/***-**,COMERCIO DE PRODUTOS AGROPECUARIOS BONFIM LTDA - ME,,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SP,Viradouro,SP0006491,**.***.791/***-**,COOPERCITRUS COOPERATIVA DE PRODUTORES RURAIS,COOPERCITRUS,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
MG,Santa Juliana,MG0003913,**.***.225/***-**,MARCA AGRO MERCANTIL LTDA,MARCA AGRO,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SP,Campinas,SP0017280,**.***.644/***-**,SJ DO BRASIL COMERCIO DE INSUMOS LTDA  - ME,SJ DO BRASIL,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
RS,Tuparendi,RS0023108,**.***.644/***-**,CAMERA AGROALIMENTOS S.A,Camera Agroalimentos,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
DF,Brasília,DF0003409,**.***.915/***-**,CARREFOUR COMERCIO E INDUSTRIA LTDA,,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
MG,Belo Horizonte,MG0007803,**.***.915/***-**,CARREFOUR COMERCIO E INDUSTRIA LTDA,,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
PR,Colombo,PR0013480,**.***.885/***-**,IRMAOS MOTTIN LTDA,,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,CORRETIVO
MS,Ivinhema,MS0013102,**.***.113/***-**,SOLOS INDUSTRIA E COMERCIO DE FERTILIZANTES LTDA,SOLOS -INDUSTRIA E COMERCIO DE FERTILIZANTES,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
MS,Ivinhema,MS0013102,**.***.113/***-**,SOLOS INDUSTRIA E COMERCIO DE FERTILIZANTES LTDA,SOLOS -INDUSTRIA E COMERCIO DE FERTILIZANTES,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE ORGÂNICO
BA,Teixeira de Freitas,BA0002771,**.***.282/***-**,CAMPO VERDE SHOPPING RURAL LTDA,CAMPO VERDE SHOPPING RURAL,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
PA,Castanhal,PA0007145,**.***.223/***-**,AGRITERRA COMERCIO LTDA - EPP,Agriterra,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
MG,Uberaba,MG0004332,**.***.225/***-**,MARCA AGRO MERCANTIL LTDA,MARCA AGRO,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
ES,Linhares,ES0007110,**.***.276/***-**,LITHO PLANT INDUSTRIA E COMERCIO DE FERTILIZANTES LTDA,LITHO PLANT FERTILIZANTES ESPECIAIS,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,BIOFERTILIZANTE
SP,Franca,SP0032425,**.***.947/***-**,AGRO-FOL INDUSTRIA E COMERCIO DE FERTILIZANTES FOLIAR LTDA - EPP,,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
PE,Moreno,PE0005371,**.***.491/***-**,GNUMUS PRODUCAO E COMERCIO DE HUMUS LTDA - ME,,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,CONDICIONADOR DE SOLO
MG,Araguari,MG0011290,**.***.729/***-**,MASTERFOL FERTILIZANTES LTDA,MASTERFOL,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE ORGÂNICO
SP,São Paulo,SP0040835,**.***.561/***-**,WEST GARDEN INDUSTRIA E COMERCIO LTDA,WEST GARDEN,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,SUBSTRATO PARA PLANTAS
MG,Uberlândia,MG0012998,**.***.968/***-**,QUALITY SOLUCOES PARA O CAMPO IMPORTACAO E EXPORTACAO LTDA - ME,Quality Soluções para o Campo Importação e Exportação LTDA-ME,"FERTILIZANTE, INOCULANTE E CORRETIVO",IMPORTADOR,PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
MG,Uberlândia,MG0012998,**.***.968/***-**,QUALITY SOLUCOES PARA O CAMPO IMPORTACAO E EXPORTACAO LTDA - ME,Quality Soluções para o Campo Importação e Exportação LTDA-ME,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
BA,Itapetinga,BA0006998,**.***.518/***-**,DEIL MINERACAO LTDA,PUROCAL,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,CORRETIVO
MS,Dourados,MS0017590,**.***.454/***-**,BIO RURAL COMERCIO E REPRESENTACOES LTDA,**************,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
MG,Pains,MG0010227,**.***.382/***-**,FERREIRA CALCARIO LTDA,FERREIRA CALCARIO,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,CORRETIVO
CE,Apuiarés,CE0003956,**.***.778/***-**,R J L PEIXOTO - ME,CASA DO AGRICULTOR,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SP,Piedade,SP0058459,**.***.400/***-**,AVA PRODUTOS E TECNOLOGIA LTDA.,,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
RS,São Leopoldo,RS0025038,**.***.784/***-**,LEROY MERLIN COMPANHIA BRASILEIRA DE BRICOLAGEM,LEROY MERLIN,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
GO,Indiara,GO0012076,**.***.097/***-**,CALCARIO OURO BRANCO LTDA,,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,CORRETIVO
MG,Uberlândia,MG0007420,**.***.186/***-**,C & P FERTILIZANTES LTDA - EPP,Adubem Fertilizantes Foliares,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
SP,Pirassununga,SP0014630,**.***.791/***-**,COOPERCITRUS COOPERATIVA DE PRODUTORES RURAIS,COOPERCITRUS,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
MG,Patos de Minas,MG0013056,**.***.349/***-**,AGRO-JAPAO COM E REPRESENTACOES DE INSUMOS AGROPEC LTDA,AGRO JAPAO,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
MG,Patos de Minas,MG0010499,**.***.015/***-**,AGROCERRADO PRODUTOS AGRICOLAS E ASSIST TECNICA LTDA,AGROCERRADO,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SE,Umbaúba,SE0001546,**.***.455/***-**,AGROPEC COMERCIAL LTDA - ME,AGROPEC,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
CE,Maracanaú,CE0008753,**.***.361/***-**,MARILEUZA TAVARES DE LUNA - ME,AGROFORTE,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SP,Barretos,SP0045160,**.***.116/***-**,LIBERFOS INDUSTRIA E COMERCIO DE FERTILIZANTES LTDA,LIBERFÓS,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE ORGÂNICO
MG,Varginha,MG0005169,**.***.503/***-**,APROVAR AGROPECUARIA COMERCIO E REPRESENTACOES LTDA,APROVAR AGROPECUARIA,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SP,Jardinópolis,SP0018694,**.***.660/***-**,INTERFINA INDUSTRIA QUIMICA LTDA,********,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
BA,Luís Eduardo Magalhães,BA0005169,**.***.393/***-**,S. H. COMERCIO E REPRESENTACOES AGRICOLAS LTDA,BOA SAFRA,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
MG,Santa Rita de Minas,MG0023493,**.***.036/***-**,A. A. AGROINDUSTRIAL LTDA,NUTRIPLANTA,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
MT,Lucas do Rio Verde,MT0000558,**.***.515/***-**,AGROVERDE AGRONEGOCIOS E LOGISTICA LTDA,AGROVERDE,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SP,Ribeirão Preto,SP0016004,**.***.402/***-**,MERCOSUL AGROQUIMICA LTDA - EPP,REALQUIMICA,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
TO,Novo Jardim,TO0006416,**.***.643/***-**,SARP MINERACAO LTDA,SARP MINERAÇÃO,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,CORRETIVO
MG,Boa Esperança,MG0010596,**.***.785/***-**,GRAO DE OURO AGRONEGOCIOS LTDA,GRAO DE OURO AGRONEGOCIOS,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SP,Espírito Santo do Pinhal,SP0014575,**.***.546/***-**,CAFE BRASIL INDUSTRIA COMERCIO IMPORTACAO E EXPORTACAO LTDA,CAFÉ BRASIL,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
ES,Alfredo Chaves,ES0001996,**.***.316/***-**,J & S COMERCIO LTDA - ME,JUCA COMÉRCIO,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
MG,Santa Margarida,MG0004448,**.***.338/***-**,COMERCIAL AGROPECUARIA RL LTDA - ME,,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
MT,Cuiabá,MT0001007,**.***.113/***-**,CASA DO ADUBO S.A.,CASA DO ADUBO,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
PR,Toledo,PR0007480,**.***.939/***-**,HUMUSFERTIL PRODUTOS PARA JARDINAGEM LTDA,,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,CONDICIONADOR DE SOLO
SP,Ribeirão Preto,SP0015202,**.***.622/***-**,FOLLYTK AGROQUIMICA LTDA - EPP,,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SP,Ibirarema,SP0005754,**.***.097/***-**,BELAGRICOLA COM E REP DE PRODUTOS AGRICOLAS LTDA,BELAGRÍCOLA,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
RS,Tupanci do Sul,RS0026239,**.***.127/***-**,OLEOPLAN S.A. OLEOS VEGETAIS PLANALTO,Oleoplan S.A.,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SP,Taquaritinga,SP0025976,**.***.261/***-**,AGRINOVA AGRONUTRIENTES LTDA,AGRINOVA AGRONUTRIENTES,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
BA,Barreiras,BA0004685,**.***.815/***-**,JCO - INDUSTRIA E COMERCIO DE FERTILIZANTES LTDA - EPP,JCO FERTILIZANTES,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE ORGÂNICO
MG,Caratinga,MG0029670,**.***.085/***-**,COOPERATIVA AGROPECUARIA CENTRO SERRANA,COOPEAVI,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SC,Corupá,SC0017108,**.***.471/***-**,BUSCHLE & LEPPER S.A,,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SP,Santa Bárbara D'Oeste,SP0028975,**.***.250/***-**,AQUADROP INDUSTRIA E COMERCIO DE FERTILIZANTES LTDA,AQUADROP,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
RS,Coimbra,RS0023094,**.***.644/***-**,CAMERA AGROALIMENTOS S.A,Camera Agroalimentos,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SP,Barretos,SP0006548,**.***.791/***-**,COOPERCITRUS COOPERATIVA DE PRODUTORES RURAIS,COOPERCITRUS,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
MG,Conceição da Barra de Minas,MG0019259,**.***.928/***-**,COOP MISTA DOS PRODUTORES RURAIS DE BOM SUCESSO LTDA,,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SC,Tangará,SC0024848,**.***.517/***-**,COOPERATIVA AGROPECUARIA PASSO DA FELICIDADE,Cooperativa Agropecuaria Passo da Felicidade - Matriz,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
BA,Irecê,BA0003808,**.***.669/***-**,CARLOS A M OLIVEIRA COMERCIO DE INSUMOS AGROPECUARIOS LTDA,Carlos A. M.,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
GO,Paraúna,GO0009067,**.***.618/***-**,COOPERATIVA AGROINDUSTRIAL DOS PRODUTORES RURAIS DO SUDOESTE GOIANO,COMIGO,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
GO,Bela Vista de Goiás,GO0007005,**.***.721/***-**,GOFERT IND.COM.E REPRESENTACAO DE INSUMOS AGROPECUARIOS LTDA,GOFERT,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE ORGÂNICO
MA,Grajaú,MA0005550,**.***.051/***-**,GESSO INTEGRAL LTDA,Gesso Integral,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
PB,Pombal,PB0006270,**.***.783/***-**,ARMAZEM OLIVEIRA CONSTRUCAO E IRRIGACAO LTDA,Armazem Oliveira Construção e Irrigação,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SP,Espírito Santo do Pinhal,SP0007102,**.***.791/***-**,COOPERCITRUS COOPERATIVA DE PRODUTORES RURAIS,COOPERCITRUS,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SP,Jaboticabal,SP0043621,**.***.849/***-**,LEVEN INDUSTRIA E COMERCIO DE PRODUTOS PARA AGRICULTURA E JARDINAGEM LTDA - EPP,LEVEN,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
SP,Jaboticabal,SP0043621,**.***.849/***-**,LEVEN INDUSTRIA E COMERCIO DE PRODUTOS PARA AGRICULTURA E JARDINAGEM LTDA - EPP,LEVEN,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE ORGÂNICO
SP,Barueri,SP0016624,**.***.390/***-**,TRICHEM COMERCIAL IMPORTADORA LTDA,TRICHEM,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
PI,Bom Jesus,PI0000612,**.***.785/***-**,AGREX DO BRASIL LTDA.,Agrex do Brasil S.A.,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
RJ,Jaguarembé,RJ0008044,**.***.124/***-**,AGRO NEGOCIO IRMAOS GOMES LTDA - ME,,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
BA,Rio Real,BA0005606,**.***.638/***-**,P & S PRODUTOS AGROPECUARIOS LTDA - EPP,,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SP,Catanduva,SP0008150,**.***.791/***-**,COOPERCITRUS COOPERATIVA DE PRODUTORES RURAIS,COOPERCITRUS,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
BA,Belmonte,BA0011924,**.***.020/***-**,VIDA PRODUTOS E SERVICOS EM DESENVOLVIMENTO ECOLOGICO LTDA,,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,SUBSTRATO PARA PLANTAS
BA,Santo Antônio de Jesus,BA0004456,**.***.692/***-**,CASARAO CAMPET AGROPECUARIOS LTDA,CASARAO CAMPET,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
PB,Sousa,PB0005711,**.***.983/***-**,FRANCISCA LEDA TEODORO DA SILVA GONCALVES - ME,,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
GO,Jussara,GO0010766,**.***.680/***-**,AGRO AMAZONIA PRODUTOS AGROPECUÁRIOS S.A,AGRO AMAZONIA PRODUTOS AGROPECUÁRIOS S.A,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SP,São Paulo,SP0050032,**.***.938/***-**,COBASI COMÉRCIO DE PRODUTOS BÁSICOS E INDUSTRIALIZADOS LTDA.,,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SC,Itajaí,SC0025410,**.***.352/***-**,AGROEX EXPORTACAO E IMPORTACAO LTDA,GS LOGISTICA,"FERTILIZANTE, INOCULANTE E CORRETIVO",EXPORTADOR,PRODUTO EXPORTADO EMBALADO
SC,Araquari,SC0031461,**.***.824/***-**,QUIMICA CARIOCA LTDA,QUIMICA CARIOCA LTDA,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
MT,Sorriso,MT0003514,**.***.842/***-**,CIBRAFERTIL COMPANHIA BRASILEIRA DE FERTILIZANTES,CIBRA,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
BA,Itaberaba,BA0003824,**.***.814/***-**,RLD REZENDE ME,CASA DO LAVRADOR,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
RS,Cruz Alta,RS0024139,**.***.143/***-**,BIO GRANUM INDÚSTRIA E DISTRIBUIÇÃO LTDA,BIO GRANUM INDÚSTRIA E DISTRIBUIÇÃO LTDA,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
MG,Patos de Minas,MG0003204,**.***.665/***-**,NOOA CIÊNCIA E TECNOLOGIA AGRÍCOLA LTDA,NOOA Ciencia e Tecnoclogia,"FERTILIZANTE, INOCULANTE E CORRETIVO",EXPORTADOR,PRODUTO EXPORTADO EMBALADO
SP,São Bernardo do Campo,SP0009458,**.***.938/***-**,COBASI COMÉRCIO DE PRODUTOS BÁSICOS E INDUSTRIALIZADOS LTDA.,Pet&Fácil Cobasi,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
MT,Tapurah,MT0001643,**.***.023/***-**,FIAGRIL LTDA,,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
MT,Sorriso,MT0000566,**.***.157/***-**,LATINA AGRO INDUSTRIA E COMERCIO DE FERTILIZANTES LTDA,LATINA AGRO INDUSTRIA E COMERCIO DE FERTILIZANTES LTDA,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SP,Sorocaba,SP0032204,**.***.221/***-**,GREENCROPS FERTILIZANTES LTDA ME,GREENCROPS FERTILIZANTES LTDA ME,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
RS,Ivoti,RS0020168,**.***.961/***-**,GRAN AGRO PRODUTOS AGRÍCOLAS LTDA,GRAN AGRO,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
MG,Formiga,MG0009105,**.***.551/***-**,ECO NEGOCIOS AGROPECUARIOS LTDA,ECO NEGOCIOS AGROPECUARIOS LTDA,"FERTILIZANTE, INOCULANTE E CORRETIVO",IMPORTADOR,PRODUTO IMPORTADO E COMERCIALIZADO EM GRANEL
SP,Catanduva,SP0010316,**.***.963/***-**,LUCAS DE MATOS DA HORA - ME,,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
MT,Tapurah,MT0000523,**.***.515/***-**,AGROVERDE AGRONEGÓCIOS E LOGÍSTICA LTDA,AGROVERDE,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
MT,Primavera do Leste,MT0000370,**.***.763/***-**,IMPACTO COMERCIO E REPRESENTAÇÃO AGRICOLA,IMPACTO AGRICOLA,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
MG,Andradas,MG0004049,**.***.791/***-**,COOPERCITRUS COOPERATIVA DE PRODUTORES RURAIS,Coopercitrus,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SP,Vinhedo,SP0025771,**.***.915/***-**,CARREFOUR COMERCIO E INDUSTRIA LTDA,CVN,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
MT,Confresa,MT0001406,**.***.578/***-**,ARAGUAIA S.A.,ARAGUAIA,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SE,Propriá,SE0002070,**.***.113/***-**,P & M COMERCIO DE RACOES LTDA,,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SP,Cravinhos,SP0017086,**.***.793/***-**,PRECISION COMERCIO DE PRODUTOS AGRICOLAS EIRELLI EPP,PRECISION,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
